AGEN,Health Care,Biotechnology: Biological Products (No Diagnostic ,408.15,2.69,2.951,0.911652,27,3.18,70,-0.53,-0.24,-0.29,-0.4,0.12,\N,36,\N,2019-07-05 17:08:14
AGRX,Health Care,Major Pharmaceuticals,62.99,1.53,1.224,1.24952,94,\N,21,\N,\N,\N,\N,\N,\N,36,\N,\N
AGYS,Technology,EDP Services,495.51,22.6,19.597,1.15321,87,3.72,74,-0.01,-0.08,-0.16,-0.18,-0.16,\N,36,\N,2019-07-05 17:11:48
AGIO,Health Care,Major Pharmaceuticals,2910,45.79,55.309,0.827898,18,23.53,97,-1.63,-1.19,-1.63,-1.58,-1.59,\N,36,\N,2019-07-05 17:12:08
AGMH,Technology,EDP Services,541.52,17.75,21.537,0.824167,17,\N,21,\N,\N,\N,\N,\N,\N,36,\N,\N
AGNC,Consumer Services,Real Estate Investment Trusts,9040,17,17.597,0.966047,38,127.83,100,1.06,0.7,0.45,-1.61,0.47,-0.220974,56,\N,2019-07-05 17:12:48
AGNCB,Consumer Services,Real Estate Investment Trusts,9020,25.543,25.481,1.00245,48,\N,21,\N,\N,\N,\N,\N,\N,36,\N,\N
AGNCN,Consumer Services,Real Estate Investment Trusts,0.34008,26.13,25.814,1.01222,51,\N,21,\N,\N,\N,\N,\N,\N,36,\N,\N
AGFS,Finance,Business Services,80.27,1.77,3.239,0.546425,6,0.47,34,-0.26,-0.37,0.06,-0.04,-0.25,0.0232558,68,\N,2019-07-05 17:13:48
ALRN,Health Care,Major Pharmaceuticals,20.3,0.7,1.396,0.501479,5,\N,21,\N,\N,\N,\N,\N,\N,36,\N,\N
AIMT,Health Care,Major Pharmaceuticals,1220,20.78,22.048,0.942485,32,\N,20,\N,\N,\N,\N,\N,\N,36,\N,\N
AIRT,Transportation,Air Freight/Delivery Services,53.47,18.05,19.085,0.945762,33,0.22,27,0.51,0.92,-0.43,-0.89,0.83,0.176796,77,\N,2019-07-05 17:14:11
ATSG,Transportation,Air Freight/Delivery Services,1350,23.58,22.998,1.02529,57,1.33,51,0.27,0.21,0.24,-0.09,0.25,-0.0555556,63,\N,2019-07-05 17:14:34
AIRG,Technology,Radio And Television Broadcasting And Communicatio,137.64,14.5,13.082,1.10842,79,2.3,63,-0.12,-0.34,0.04,0.13,0.03,0.319149,83,\N,2019-07-05 17:14:53
ANTE,Technology,Advertising,19.35,1.6,1.976,0.809735,16,0.77,41,-0.9,-0.5,-1.6,-0.8,14.5,\N,36,\N,2019-07-05 17:15:11
AITB,Health Care,Medical/Dental Instruments,52.99,5.487,4.966,1.10485,79,\N,20,\N,\N,\N,\N,\N,\N,36,\N,\N
AKAM,Miscellaneous,Business Services,12750,81.7,72.646,1.12463,82,4.82,82,0.31,0.25,0.64,0.57,0.65,0.85,95,\N,2019-07-05 17:15:52
