AHPI,Health Care,Industrial Specialties,7.19,\N,\N,0.2,\N,-0.22,-0.04,-0.31,-0.19,0.09,\N,\N,\N,2019-07-05 17:24:04
AMOT,Capital Goods,Electrical Products,349.79,\N,\N,1.1,\N,0.45,0.45,0.52,0.28,0.48,\N,\N,\N,2019-07-05 17:24:29
ALLO,Health Care,Biotechnology: Biological Products (No Diagnostic ,3180,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ALLT,Technology,Computer Communications Equipment,246.77,\N,\N,2.65,\N,-0.11,-0.07,-0.07,-0.05,-0.1,\N,\N,\N,2019-07-05 17:24:53
MDRX,Technology,EDP Services,1860,\N,\N,1.1,\N,-0.22,0.36,-0.2,2.14,-0.04,\N,\N,\N,2019-07-05 17:25:14
ALNY,Health Care,Major Pharmaceuticals,7580,\N,\N,89.52,\N,-1.41,-1.63,-2.43,-2.09,-1.73,\N,\N,\N,2019-07-05 17:25:38
AOSL,Technology,Semiconductors,209.4,\N,\N,0.49,\N,0.07,0.04,0.1,-0.06,-0.06,\N,\N,\N,2019-07-05 17:25:56
GOOG,Technology,Computer Software: Programming\, Data Processing,754190,\N,\N,5.48,\N,13.33,4.54,13.06,12.77,9.5,\N,\N,\N,2019-07-05 17:26:23
GOOGL,Technology,Computer Software: Programming\, Data Processing,755050,\N,\N,5.48,\N,13.33,4.54,13.06,12.77,9.5,\N,\N,\N,2019-07-05 17:26:45
ATEC,Health Care,Medical/Dental Instruments,190.71,\N,\N,2.1,\N,-0.09,-0.21,-0.22,-0.25,-0.29,\N,\N,\N,2019-07-05 17:27:11
ALPN,Health Care,Major Pharmaceuticals,83.57,\N,\N,211.9,\N,-0.38,-0.57,-0.88,-0.8,-0.7,\N,\N,\N,2019-07-05 17:27:34
AMR,Energy,Oil & Gas Production,59.04,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
AABA,Technology,EDP Services,35660,\N,\N,109.72,\N,-0.1,-0.46,0.17,0.17,0.1,\N,\N,\N,2019-07-05 17:28:23
ALTR,Technology,Computer Software: Prepackaged Software,2760,\N,\N,7,\N,0.05,0.02,0.1,-0.15,0.17,\N,\N,\N,2019-07-05 17:28:52
ATHE,Health Care,Major Pharmaceuticals,18.36,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ALT,Health Care,Major Pharmaceuticals,29.46,\N,\N,3.05,\N,-7.5,-10.2,-1.73,-2.79,-0.27,\N,\N,\N,2019-07-05 17:29:15
ASPS,Consumer Services,Other Consumer Services,301.16,\N,\N,0.43,\N,-0.24,0.09,0.49,-0.69,-0.2,\N,\N,\N,2019-07-05 17:29:37
AIMC,Capital Goods,Industrial Machinery/Components,2260,\N,\N,1.56,\N,0.31,0.65,0.42,-0.08,0.55,\N,\N,\N,2019-07-05 17:30:02
ALTM,Public Utilities,Natural Gas Distribution,1190,\N,\N,12.72,\N,0.02,0.01,-0.09,-0.01,0.01,\N,\N,\N,2019-07-05 17:30:19
AMAG,Health Care,Major Pharmaceuticals,299.51,\N,\N,0.78,\N,-1.59,-0.58,0.89,-0.64,-3.54,\N,\N,\N,2019-07-05 17:30:41
AMAL,Consumer Non-Durables,Textiles,527.41,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
AMRN,Health Care,Major Pharmaceuticals,6010,\N,\N,28.98,\N,-0.08,-0.12,-0.08,-0.11,-0.07,\N,\N,\N,2019-07-05 17:31:32
AMRK,Basic Industries,Other Specialty Stores,93.94,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
AMZN,Consumer Services,Catalog/Specialty Distribution,924730,\N,\N,3.95,\N,3.27,5.07,5.75,6.04,7.09,\N,\N,\N,2019-07-05 17:32:15
AMBC,Finance,Property-Casualty Insurers,769.3,\N,\N,1.73,\N,6.7,0.09,-2.27,-0.45,-0.94,\N,\N,\N,2019-07-05 17:32:33
AMBA,Technology,Semiconductors,1440,\N,\N,6.68,\N,-0.3,-0.21,-0.28,-0.14,-0.53,\N,\N,\N,2019-07-05 17:32:52
AMCX,Consumer Services,Television Services,3080,\N,\N,1.05,\N,2.54,1.82,1.93,1.24,2.48,\N,\N,\N,2019-07-05 17:33:10
AMCI,Finance,Business Services,274,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
DOX,Technology,EDP Services,8520,\N,\N,2.12,\N,0.7,0.64,0.31,0.72,0.9,\N,\N,\N,2019-07-05 17:33:34
AMED,Health Care,Medical/Nursing Services,3890,\N,\N,2.25,\N,0.79,0.98,0.96,0.84,0.95,\N,\N,\N,2019-07-05 17:33:51
AMTB,Finance,Major Banks,782,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
AMTBB,Finance,Major Banks,606.07,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
UHAL,Consumer Services,Rental/Leasing Companies,7420,\N,\N,1.94,\N,0.55,6.53,8.35,4.01,0.04,\N,\N,\N,2019-07-05 17:34:59
AMRH,Technology,Semiconductors,16.98,\N,\N,0.41,\N,-0.11,-0.07,0.16,-0.84,-0.04,\N,\N,\N,2019-07-05 17:35:23
ATAX,Finance,Finance: Consumer Services,444.74,\N,\N,8.04,\N,0.09,0.04,0.25,0.22,0.08,\N,\N,\N,2019-07-05 17:35:51
AMOV,Public Utilities,Telecommunications Equipment,50140,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,could not convert string to float: N/A,\N
AAL,Transportation,Air Freight/Delivery Services,13910,\N,\N,0.32,\N,0.39,1.22,0.74,0.69,0.41,\N,\N,\N,2019-07-05 17:36:16
AETI,Energy,Industrial Machinery/Components,6.34,\N,\N,0.98,\N,-0.35,-0.23,0.32,-0.15,-0.06,\N,\N,\N,2019-07-05 17:36:38
AFIN,Consumer Services,Real Estate Investment Trusts,1130,\N,\N,4.01,\N,0.15,-0.11,-0.26,-0.13,-0.03,\N,\N,\N,2019-07-05 17:36:57
AFINP,Consumer Services,Real Estate Investment Trusts,30.47,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
AMNB,Finance,Major Banks,398.03,\N,\N,5.75,\N,0.67,0.69,0.66,0.57,0.69,\N,\N,\N,2019-07-05 17:37:33
ANAT,Finance,Life Insurance,3060,\N,\N,0.89,\N,0.7,3.12,6.44,-4.37,9.6,\N,\N,\N,2019-07-05 17:37:49
AOBC,Capital Goods,Ordnance And Accessories,459.79,\N,\N,0.77,\N,0.14,0.14,0.12,-0.1,0.18,\N,\N,\N,2019-07-05 17:38:06
APEI,Consumer Services,Other Consumer Services,466.57,\N,\N,1.65,\N,0.28,0.39,0.33,0.55,0.06,\N,\N,\N,2019-07-05 17:38:26
AREC,Consumer Services,Other Consumer Services,64.35,\N,\N,2.75,\N,-2.93,-2.1,-2.49,-0.27,-0.48,\N,\N,\N,2019-07-05 17:38:42
AMRB,Finance,Major Banks,74.07,\N,\N,3.15,\N,0.22,0.22,0.2,0.19,0.2,\N,\N,\N,2019-07-05 17:39:01
AMSWA,Technology,Computer Software: Prepackaged Software,413.65,\N,\N,3.81,\N,0.18,0.04,0.04,0.04,0.07,\N,\N,\N,2019-07-05 17:39:18
AMSC,Consumer Durables,Metal Fabrications,180.26,\N,\N,3.66,\N,-0.3,-0.23,1.1,0.83,-0.41,\N,\N,\N,2019-07-05 17:39:33
AMWD,Basic Industries,Forest Products,1310,\N,\N,0.86,\N,1.08,1.41,1.05,1.07,1.3,\N,\N,\N,2019-07-05 17:39:47
CRMT,Consumer Durables,Automotive Aftermarket,579.34,\N,\N,0.86,\N,1.43,1.53,1.58,1.55,2.07,\N,\N,\N,2019-07-05 17:40:02
ABCB,Finance,Major Banks,1800,\N,\N,5.89,\N,0.7,0.24,0.87,0.91,0.84,\N,\N,\N,2019-07-05 17:40:24
AMSF,Finance,Property-Casualty Insurers,1200,\N,\N,3.23,\N,0.84,0.88,1.02,0.98,1.01,\N,\N,\N,2019-07-05 17:40:43
ASRV,Finance,Major Banks,71.4,\N,\N,1.42,\N,0.1,0.1,0.13,0.11,0.11,\N,\N,\N,2019-07-05 17:41:03
ASRVP,Finance,Major Banks,0.63,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
ATLO,Finance,Major Banks,243.36,\N,\N,5.06,\N,0.43,0.46,0.48,0.45,0.46,\N,\N,\N,2019-07-05 17:41:26
AMGN,Health Care,Biotechnology: Biological Products (No Diagnostic ,112500,\N,\N,4.73,\N,3.25,3.48,2.86,3.01,3.18,\N,\N,\N,2019-07-05 17:41:50
FOLD,Health Care,Major Pharmaceuticals,3070,\N,\N,26.92,\N,-0.28,-0.33,-0.84,-0.41,-0.56,\N,\N,\N,2019-07-05 17:42:22
AMKR,Technology,Semiconductors,1660,\N,\N,0.43,\N,0.04,0.14,0.24,0.12,-0.1,\N,\N,\N,2019-07-05 17:42:57
AMPH,Health Care,Major Pharmaceuticals,963.43,\N,\N,3.1,\N,-0.16,-0.06,0.05,0.04,0.02,\N,\N,\N,2019-07-05 17:43:25
ASYS,Technology,Industrial Machinery/Components,72.62,\N,\N,0.49,\N,0.19,0.33,-0.61,-0.17,-0.4,\N,\N,\N,2019-07-05 17:43:51
AMRS,Basic Industries,Major Chemicals,301.08,\N,\N,4.03,\N,-1.14,-0.17,-1.79,-0.29,-1.13,\N,\N,\N,2019-07-05 17:44:32
ADI,Technology,Semiconductors,40780,\N,\N,6.82,\N,1.01,1.1,1.15,0.95,0.98,\N,\N,\N,2019-07-05 17:45:00
ANAB,Health Care,Major Pharmaceuticals,1480,\N,\N,289.77,\N,-0.63,-0.57,-0.66,-0.64,-0.82,\N,\N,\N,2019-07-05 16:12:21
AVXL,Health Care,Biotechnology: Commercial Physical & Biological Re,167.42,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
